iso,H2,H1,AX,L1,L2,CDD
Ar40,2.85195,3.76699,3.76699,3.76699,3.76699,3.76699
Ar39,2.79251,3.76699,3.76699,3.76699,3.76699,3.76699
Ar36,2.61123,3.76699,3.76699,3.76699,3.76699,3.76699
