parabolic
iso,H2,H1,AX,L1,L2,L2(CDD)
Ar40,3.49374,3.56492,3.63917,3.71617,3.81193,3.79853
Ar39,3.42470,3.49501,3.56780,3.64611,3.73707,3.72334
Ar36,3.21463,3.28086,3.34922,3.42101,3.51769,3.49501
