parabolic,,,,,,
iso,H2,H1,AX,L1,L2,L2(CDD)
Ar40,3.7644,3.84035,3.91655,3.99767,4.10642,4.09134
Ar39,3.68996,3.7644,3.83903,3.91854,4.02514,4.01035
Ar36,3.46369,3.53373,3.60358,3.67823,3.78883,3.7644
