parabolic
iso,H2,H1,AX,L1,L2,L2(CDD)
Ar40,3.75893,3.84024,3.91836,3.99981,4.10748,4.09304
Ar39,3.69062,3.75893,3.84145,3.92431,4.02682,4.01202
Ar36,3.46425,3.41675,3.60591,3.68175,3.79041,3.75893
