parabolic,,,,,,
iso,H2,H1,AX,L1,L2,L2(CDD)
Ar40,3.765438,3.842162499,3.922184428,4.005115853,4.108392202,4.093952479
Ar39,3.691041098,3.766828093,3.845276738,3.929619808,4.027723719,4.01292839
Ar36,3.464671497,3.536061919,3.609736835,3.68705401,3.791321743,3.766881972
