parabolic
iso,H2,H1,AX,L1,L2,L2(CDD)
Ar40,3.77576,3.85086,3.92974,4.01092,4.11950,4.10455
Ar39,3.70111,3.77543,3.85257,3.98317,4.03857,4.02326
Ar36,3.47398,3.42594,3.61624,3.69265,3.80136,3.77533
