parabolic
iso,H2,H1,AX,L1,L2,L2(CDD)
Ar40,3.49431,3.56551,3.63977,3.71673,3.81257,3.79917
Ar39,3.42527,3.49560,3.56840,3.64667,3.73771,3.72398
Ar36,3.21520,3.28145,3.34982,3.42157,3.51833,3.49565
