parabolic
iso,H2,H1,AX,L1,L2,L2(CDD)
Ar40,3.76479,3.84001,3.91813,3.99958,4.10725,4.09281
Ar39,3.69039,3.76484,3.84122,3.92408,4.02659,4.01179
Ar36,3.46402,3.41652,3.60568,3.68152,3.79018,3.76470
