parabolic,,,,,,
iso,H2,H1,AX,L1,L2,L2(CDD)
Ar40,3.75879,3.8401,3.91822,3.99967,4.10734,4.0929
Ar39,3.69048,3.75879,3.84131,3.92417,4.02668,4.01188
Ar36,3.46411,3.41661,3.60577,3.68161,3.79027,3.75879
